name,age,monthly income,ns1,ns2,ns3,city(made-up),nationality,sb,gender,phone,marital status,current employment status,most recent occupation,dbms,visualization tools,experience(in years),days_since_applying,continent,num_skills
Isaac Herrera,58.0,69196.0,a,0,missing,Lake Tammyview,Azerbaijan,True,missing,4005980037,missing,employed,Museum/gallery exhibitions officer,Excel,PowerBI,3,10.0,Asia,2
Mrs. Lisa Pope PhD,41.6,147853.0,missing,0,abc,Angelabury,Saudi Arabia,True,M,(732)263-0812x68867,missing,freelancer,Brewing technologist,Python,Tableau,3,1086.0,Asia,2
Christopher Schmitt,24.0,95165.0,b,1,missing,North Charles,Kazakhstan,True,missing,253-972-2959x17988,missing,employed,"Journalist, newspaper",missing,R,10,671.2,Asia,2
Carl Dunn,42.8,17012.0,a,1,001,North Charlesshire,Togo,False,M,241-881-5229x57396,missing,missing,Architect,Python,Tableau,5,398.0,Africa,2
Sherry Morton,36.6,23717.0,c,0,missing,Port Johnview,Guinea-Bissau,False,F,+1-268-393-1282,missing,freelancer,Regulatory affairs officer,missing,Tableau,10,556.0,Africa,2
Melissa Lopez,21.0,110162.0,b,1,002,Port Williamton,Isle of Man,True,F,391.862.0726,missing,missing,Child psychotherapist,missing,Tableau,4,380.0,Europe,2
Natalie Castillo,42.452599388379205,117311.0,missing,0,002,North Joshua,Panama,False,missing,132-941-1502x2032,single,employed,Web designer,Excel,Tableau,10,539.2338129496403,North America,2
Audrey Smith,42.452599388379205,105039.0,missing,0,003,Andrewville,Northern Mariana Islands,True,M,(272)854-5792x0708,missing,freelancer,Barrister's clerk,Excel,R,6,539.2338129496403,Oceania,2
Melissa Dominguez,47.0,51832.0,missing,1,missing,Port Brianfurt,Cuba,True,missing,(651)583-1122,married,unemployed,"Psychotherapist, dance movement",Python,Tableau,8,235.0,North America,2
John Myers,38.6,34325.0,c,1,002,Ryanberg,Niger,True,F,825.519.2222x57699,single,employed,Transport planner,missing,PowerBI,8,258.0,Africa,2
Jennifer Bush,42.452599388379205,48287.0,b,0,missing,Lake Dawnshire,Jamaica,True,F,+1-228-384-2135x730,married,freelancer,Counselling psychologist,missing,R,7,539.2338129496403,North America,2
Shelly White,46.0,93627.0,a,0,missing,Mindyfurt,Kyrgyz Republic,False,missing,280.432.1736x60738,single,employed,Airline pilot,Excel,Tableau,1,876.0,Asia,2
Chelsea Long,39.0,132248.0,a,0,002,East Erica,Spain,True,F,101-150-9976x807,missing,unemployed,Transport planner,Excel,PowerBI,10,451.20000000000005,Europe,2
Thomas Jones,42.452599388379205,19200.0,b,1,abc,Tiffanyburgh,Antigua and Barbuda,True,M,942-642-5573x004,married,unemployed,Fitness centre manager,missing,missing,2,539.2338129496403,North America,2
Jennifer Barron,42.452599388379205,24761.0,missing,0,001,Tracyland,Nauru,True,missing,001-515-740-7520x066,single,unemployed,Call centre manager,SQL,missing,7,539.2338129496403,Oceania,2
